epoch,lr,step
0,9.999999747378752e-06,0
0,1.0570934136922006e-05,1
0,1.114186852646526e-05,2
0,1.1712802916008513e-05,3
0,1.2283737305551767e-05,4
0,1.2854671695095021e-05,5
0,1.3425605175143573e-05,6
0,1.3996539564686827e-05,7
0,1.4567473954230081e-05,8
0,1.5138408343773335e-05,9
0,1.5709341823821887e-05,10
0,1.6280277122859843e-05,11
0,1.6851210602908395e-05,12
0,1.742214590194635e-05,13
0,1.7993079381994903e-05,14
0,1.856401468103286e-05,15
0,1.913494816108141e-05,16
0,1.9705881641129963e-05,17
0,2.027681694016792e-05,18
0,2.084775042021647e-05,19
0,2.1418685719254427e-05,20
0,2.198961919930298e-05,21
0,2.2560554498340935e-05,22
0,2.3131487978389487e-05,23
0,2.370242145843804e-05,24
0,2.4273356757475995e-05,25
0,2.4844290237524547e-05,26
0,2.5415225536562502e-05,27
0,2.5986159016611055e-05,28
0,2.655709431564901e-05,29
0,2.7128027795697562e-05,30
0,2.7698961275746115e-05,31
0,2.826989657478407e-05,32
0,2.8840830054832622e-05,33
0,2.9411765353870578e-05,34
0,2.998269883391913e-05,35
0,3.0553634132957086e-05,36
0,3.112456761300564e-05,37
0,3.169550109305419e-05,38
0,3.226643457310274e-05,39
0,3.28373716911301e-05,40
0,3.3408305171178654e-05,41
0,3.3979238651227206e-05,42
0,3.455017213127576e-05,43
0,3.512110561132431e-05,44
0,3.569204272935167e-05,45
0,3.626297620940022e-05,46
0,3.6833909689448774e-05,47
0,3.7404843169497326e-05,48
0,3.7975780287524685e-05,49
0,3.854671376757324e-05,50
0,3.911764724762179e-05,51
0,3.968858072767034e-05,52
0,4.0259514207718894e-05,53
0,4.083045132574625e-05,54
0,4.1401384805794805e-05,55
0,4.197231828584336e-05,56
