,energy_pred
0,3558.8591
1,912.85785
2,238.8854
3,277.1334
4,152.6881
5,285.0314
6,541.87494
7,29.684065
8,54.175434
9,234.0958
10,239.47398
11,90.351036
12,13.496408
13,772.48224
14,69.06901
15,118.90224
16,11.497904
17,130.25414
18,87.97113
19,838.7089
20,67.441826
21,21.177282
22,22.838596
23,683.43665
24,6.713397
25,326.98193
26,226.12299
27,23.436178
28,8.2239685
29,573.13794
30,14.7495
31,805.4981
32,396.59985
33,65.247925
34,116.36552
35,24.868727
36,30.032892
37,62.78845
38,36.241055
39,26.29179
40,509.89188
41,219.64197
42,85.26437
43,31.486101
44,595.956
45,118.8124
46,97.720184
47,155.02727
48,104.41789
49,510.49353
50,10.463504
51,218.75735
52,154.89114
53,13.131403
54,164.99933
55,32.842274
56,47.440224
57,5.375199
58,4.211027
59,55.745434
60,23.090061
61,492.09186
62,151.7272
63,265.31125
64,133.31284
65,190.79558
66,334.83997
67,46.191
68,7.801698
69,272.59323
70,90.64582
71,141.54697
72,695.1645
73,7.9048085
74,76.358734
75,141.92015
76,320.7925
77,180.37616
78,248.07089
79,5.265527
80,13.990359
81,10.450754
82,1252.8429
83,149.02225
84,53.912197
85,269.77673
86,14.327571
87,35.19286
88,512.2171
89,14.386527
90,88.68982
91,303.01514
92,116.55288
93,70.78948
94,106.692764
95,97.00466
96,45.853905
97,111.11928
98,10.472284
99,99.81277
100,7.7122188
101,154.34628
102,28.558725
103,104.61801
104,4001.4385
105,1052.8292
106,8.436773
107,120.18155
108,1871.1428
109,15.045296
110,720.59503
111,793.08215
112,17.348272
113,897.8284
114,136.44751
115,63.473568
116,186.53809
117,43.03417
118,43.515392
119,24.827621
120,544.5558
121,789.02
122,275.46445
123,21.534771
124,43.002888
125,182.91331
126,43.202496
127,17.902763
128,159.59561
129,384.73828
130,19.135378
131,496.66373
132,1998.3082
133,19.56975
134,69.13823
135,611.03937
136,6.038358
137,94.00068
138,307.2563
139,430.63135
140,130.4534
141,26.084482
142,149.2124
143,1658.1937
144,37.85136
145,138.52486
